Number,Name,Symbol,McGowan
1,Hydrogen,H,8.71
2,Helium,He,6.75
3,Lithium,Li,22.23
4,Beryllium,Be,20.27
5,Boron,B,18.31
6,Carbon,C,16.35
7,Nitrogen,N,14.39
8,Oxygen,O,12.43
9,Fluorine,F,10.47
10,Neon,Ne,8.51
11,Sodium,Na,32.71
12,Magnesium,Mg,30.75
13,Aluminum,Al,28.79
14,Silicon,Si,26.83
15,Phosphorus,P,24.87
16,Sulfur,S,22.91
17,Chlorine,Cl,20.95
18,Argon,Ar,18.99
19,Potassium,K,51.89
20,Calcium,Ca,50.28
21,Scandium,Sc,48.68
22,Titanium,Ti,47.07
23,Vanadium,V,45.47
24,Chromium,Cr,43.86
25,Manganese,Mn,42.26
26,Iron,Fe,40.65
27,Cobalt,Co,39.05
28,Nickel,Ni,37.44
29,Copper,Cu,35.84
30,Zinc,Zn,34.23
31,Gallium,Ga,32.63
32,Germanium,Ge,31.02
33,Arsenic,As,29.42
34,Selenium,Se,27.81
35,Bromine,Br,26.21
36,Krypton,Kr,24.6
37,Rubidium,Rb,60.22
38,Strontium,Sr,58.61
39,Yttrium,Y,57.01
40,Zirconium,Zr,55.4
41,Niobium,Nb,53.8
42,Molybdenum,Mo,52.19
43,Technetium,Tc,50.59
44,Ruthenium,Ru,48.98
45,Rhodium,Rh,47.38
46,Palladium,Pd,45.77
47,Silver,Ag,44.17
48,Cadmium,Cd,42.56
49,Indium,In,40.96
50,Tin,Sn,39.35
51,Antimony,Sb,37.75
52,Tellurium,Te,36.14
53,Iodine,I,34.54
54,Xenon,Xe,32.93
55,Cesium,Cs,77.25
56,Barium,Ba,76
57,Lanthanum,La,74.75
58,Cerium,Ce,73.49
59,Praseodymium,Pr,72.24
60,Neodymium,Nd,70.99
61,Promethium,Pm,69.74
62,Samarium,Sm,68.49
63,Europium,Eu,67.23
64,Gadolinium,Gd,65.98
65,Terbium,Tb,64.73
66,Dysprosium,Dy,63.48
67,Holmium,Ho,62.23
68,Erbium,Er,60.97
69,Thulium,Tm,59.72
70,Ytterbium,Yb,58.47
71,Lutetium,Lu,57.22
72,Hafnium,Hf,55.97
73,Tantalum,Ta,54.71
74,Tungsten,W,53.46
75,Rhenium,Re,52.21
76,Osmium,Os,50.96
77,Iridium,Ir,49.71
78,Platinum,Pt,48.45
79,Gold,Au,47.2
80,Mercury,Hg,45.95
81,Thallium,Tl,44.7
82,Lead,Pb,43.45
83,Bismuth,Bi,42.19
84,Polonium,Po,40.94
85,Astatine,At,39.69
86,Radon,Rn,38.44
87,Francium,Fr,75.59
88,Radium,Ra,74.34
89,Actinium,Ac,73.09
90,Thorium,Th,71.83
91,Protactinium,Pa,70.58
92,Uranium,U,69.33
93,Neptunium,Np,68.08
94,Plutonium,Pu,66.83
95,Americium,Am,65.57
96,Curium,Cm,64.32
97,Berkelium,Bk,63.07
98,Californium,Cf,61.82
99,Einsteinium,Es,60.57
100,Fermium,Fm,59.31
101,Mendelevium,Md,58.06
102,Nobelium,No,56.81
103,Lawrencium,Lr,55.56